start,today,تاريخ النشاط,المحافظة,طبيعة الوصول,المنطقة الإدارية,المنطقة الفرعية,اسم القرية,هل يوجد دفتر عائلة,طبيعة العائلة,تاريخ طبيعة العائلة,بلد العودة,طبيعة السكن,عدد الأفراد في دفتر العائلة,عدد أفراد العائلة الفعلي,عدد الأفراد المعالين,عدد الأفراد المعيلين,هل عنوان السكن هو نفس منطقة التدخل؟,العنوان الحالي - المحافظة,العنوان الحالي - المنطقة,عنوان العائلة الأصلي (إذا كانت نازحة من قريبة أخرى).1,_id,_submission_time,_validation_status,_status,_index
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,6,8,7,1,نعم,,,,464224958,2025-04-16,,submitted_via_web,98
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,القدموس,فنيتق,الفنيتق,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-03-01,,ملك,4,4,1,3,نعم,,,,464225958,2025-04-16,,submitted_via_web,99
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أجار,5,5,5,1,نعم,,,,464225966,2025-04-16,,submitted_via_web,100
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,6,6,1,5,نعم,,,,464226057,2025-04-16,,submitted_via_web,101
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-04-01,,ملك,5,5,4,1,نعم,,,,464226414,2025-04-16,,submitted_via_web,102
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,3,4,4,0,نعم,,,,464227132,2025-04-16,,submitted_via_web,103
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,القدموس,فنيتق,فنيتق,نعم,مجتمع مضيف,,,ملك,10,10,9,1,نعم,,,,464227792,2025-04-16,,submitted_via_web,104
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,2,2,1,1,نعم,,,,464228907,2025-04-16,,submitted_via_web,105
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,أستضافة,8,8,8,2,نعم,,,,464229005,2025-04-16,,submitted_via_web,106
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,5,4,4,1,لا,طرطوس,ريف بانياس,,464229528,2025-04-16,,submitted_via_web,107
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,القدموس,فنيتق,فنيتق,نعم,مجتمع مضيف,,,ملك,2,2,2,2,نعم,,,,464229628,2025-04-16,,submitted_via_web,108
